Origin,Destination,O_D_ref
1,24,"[1, 24]"
1,36,"[1, 36]"
1,7,"[1, 7]"
1,31,"[1, 31]"
1,4,"[1, 4]"
1,18,"[1, 18]"
1,12,"[1, 12]"
1,40,"[1, 40]"
1,1,"[1, 1]"
1,9,"[1, 9]"
2,24,"[2, 24]"
2,7,"[2, 7]"
2,11,"[2, 11]"
2,39,"[2, 39]"
2,49,"[2, 49]"
2,12,"[2, 12]"
2,16,"[2, 16]"
2,57,"[2, 57]"
2,2,"[2, 2]"
2,31,"[2, 31]"
3,7,"[3, 7]"
3,24,"[3, 24]"
3,3,"[3, 3]"
3,32,"[3, 32]"
3,9,"[3, 9]"
3,16,"[3, 16]"
3,31,"[3, 31]"
3,17,"[3, 17]"
3,11,"[3, 11]"
3,57,"[3, 57]"
4,7,"[4, 7]"
4,4,"[4, 4]"
4,24,"[4, 24]"
4,32,"[4, 32]"
4,31,"[4, 31]"
4,12,"[4, 12]"
4,9,"[4, 9]"
4,17,"[4, 17]"
4,25,"[4, 25]"
4,13,"[4, 13]"
5,24,"[5, 24]"
5,7,"[5, 7]"
5,5,"[5, 5]"
5,32,"[5, 32]"
5,4,"[5, 4]"
5,13,"[5, 13]"
5,25,"[5, 25]"
5,39,"[5, 39]"
5,36,"[5, 36]"
5,49,"[5, 49]"
6,7,"[6, 7]"
6,6,"[6, 6]"
6,8,"[6, 8]"
6,32,"[6, 32]"
6,20,"[6, 20]"
6,9,"[6, 9]"
6,16,"[6, 16]"
6,42,"[6, 42]"
6,17,"[6, 17]"
6,18,"[6, 18]"
7,7,"[7, 7]"
7,24,"[7, 24]"
7,32,"[7, 32]"
7,9,"[7, 9]"
7,31,"[7, 31]"
7,4,"[7, 4]"
7,12,"[7, 12]"
7,3,"[7, 3]"
7,40,"[7, 40]"
7,18,"[7, 18]"
8,7,"[8, 7]"
8,24,"[8, 24]"
8,9,"[8, 9]"
8,32,"[8, 32]"
8,17,"[8, 17]"
8,8,"[8, 8]"
8,16,"[8, 16]"
8,4,"[8, 4]"
8,31,"[8, 31]"
8,18,"[8, 18]"
9,9,"[9, 9]"
9,7,"[9, 7]"
9,32,"[9, 32]"
9,24,"[9, 24]"
9,18,"[9, 18]"
9,31,"[9, 31]"
9,4,"[9, 4]"
9,16,"[9, 16]"
9,3,"[9, 3]"
9,17,"[9, 17]"
10,7,"[10, 7]"
10,10,"[10, 10]"
10,40,"[10, 40]"
10,24,"[10, 24]"
10,17,"[10, 17]"
10,63,"[10, 63]"
10,49,"[10, 49]"
10,12,"[10, 12]"
10,31,"[10, 31]"
