origin_cluster,destination_cluster
1,1
1,19
1,28
1,26
1,25
1,4
1,6
1,7
1,9
1,17
2,25
2,28
2,15
2,19
2,1
2,2
2,6
2,9
2,4
2,3
3,3
3,25
3,6
3,15
3,9
3,19
3,4
3,26
3,11
3,28
4,19
4,4
4,6
4,26
4,28
4,25
4,1
4,15
4,7
4,9
5,5
5,9
5,4
5,6
5,12
5,11
5,15
5,3
5,13
5,25
6,6
6,19
6,26
6,4
6,9
6,25
6,3
6,1
6,28
6,15
7,19
7,25
7,28
7,1
7,7
7,4
7,6
7,26
7,9
7,17
8,26
8,8
8,19
8,1
8,28
8,6
8,4
8,27
8,17
8,25
9,9
9,6
9,19
9,28
9,4
9,1
9,3
9,25
9,13
9,11
10,9
10,13
10,5
10,3
10,6
10,11
10,15
10,12
10,10
10,14
11,6
11,9
11,26
11,4
11,1
11,25
11,11
11,3
11,19
11,15
12,19
12,6
12,4
12,25
12,9
12,28
12,12
12,15
12,3
12,1
13,9
13,3
13,6
13,11
13,12
13,1
13,4
13,2
13,5
13,15
14,6
14,19
14,25
14,28
14,4
14,9
14,3
14,15
14,7
14,1
15,6
15,3
15,25
15,15
15,4
15,19
15,26
15,2
15,1
15,11
16,28
16,1
16,19
16,8
16,9
16,15
16,4
16,6
16,16
16,26
17,26
17,19
17,1
17,25
17,17
17,28
17,4
17,6
17,15
17,9
18,6
18,9
18,4
18,28
18,19
18,26
18,25
18,3
18,18
18,1
19,19
19,28
19,1
19,4
19,6
19,26
19,25
19,7
19,9
19,42
20,20
20,3
20,15
20,19
20,16
20,7
20,12
20,11
20,6
20,4
21,6
21,21
21,15
21,9
21,19
21,4
21,2
21,26
21,1
21,17
22,11
22,6
22,9
22,22
22,15
22,3
22,14
22,25
22,12
22,4
23,19
23,6
23,25
23,4
23,26
23,9
23,23
23,15
23,1
23,16
24,25
24,28
24,19
24,9
24,3
24,1
24,7
24,26
24,16
24,6
25,1
25,19
25,28
25,3
25,4
25,7
25,6
25,2
25,15
25,17
26,1
26,6
26,4
26,19
26,8
26,17
26,15
26,26
26,7
26,28
27,8
27,16
27,27
27,19
27,4
27,17
27,26
27,31
27,29
27,24
28,28
28,19
28,1
28,38
28,25
28,7
28,4
28,6
28,39
28,9
29,8
29,27
29,26
29,17
29,19
29,31
29,12
29,4
29,29
29,1
30,19
30,30
30,9
30,6
30,28
30,2
30,3
30,26
30,4
30,1
31,19
31,1
31,28
31,26
31,42
31,8
31,4
31,31
31,17
31,7
32,26
32,1
32,8
32,4
32,16
32,19
32,3
32,24
32,21
32,6
32,15
32,17
33,26
33,19
33,9
33,4
33,6
33,23
33,1
33,21
33,5
33,2
34,15
34,17
34,1
34,5
34,9
34,2
34,6
34,19
34,4
34,11
35,26
35,25
35,1
35,6
35,7
35,28
35,19
35,9
35,8
35,4
36,26
36,19
36,1
36,4
36,31
36,17
36,28
36,8
36,7
36,36
37,19
37,28
37,9
37,4
37,1
37,6
37,8
37,14
37,21
37,3
38,28
38,1
38,39
38,19
38,9
38,7
38,4
38,2
38,6
38,8
39,28
39,39
39,38
39,1
39,19
39,9
39,41
39,7
39,2
39,25
40,28
40,42
40,19
40,1
40,4
40,40
40,6
40,12
40,7
40,31
41,28
41,38
41,39
41,1
41,19
41,7
41,25
41,2
41,9
41,6
42,19
42,28
42,1
42,9
42,4
42,7
42,31
42,2
42,6
42,12
43,1
43,28
43,19
43,25
43,2
43,4
43,12
43,39
43,7
43,15
